512,512,0.645273
512,480,0.666727
512,480,0.666727
512,480,0.666727
1636,1693,0.688909
1636,1725,0.689273
1636,1725,0.689273
1636,1725,0.689273
1772,1635,0.678182
1772,1603,0.687455
1740,1603,0.690909
1740,1603,0.690909
1224,513,0.676909
1224,545,0.682909
1224,545,0.682909
1224,545,0.682909
1111,1767,0.678182
1111,1767,0.678182
1143,1767,0.681818
1143,1799,0.682000
1143,1799,0.682000
1143,1799,0.682000
1785,1312,0.681818
1785,1280,0.689273
1785,1280,0.689273
1785,1280,0.689273
565,494,0.658909
565,462,0.668545
565,462,0.668545
565,462,0.668545
739,428,0.671818
739,460,0.671818
771,460,0.672909
771,460,0.672909
803,460,0.674727
803,428,0.676545
803,428,0.676545
803,428,0.676545
1155,451,0.664545
1155,483,0.672909
1123,483,0.687455
1123,483,0.687455
678,1212,0.661818
678,1244,0.671091
710,1244,0.674909
710,1244,0.674909
1377,1382,0.680727
1377,1350,0.681273
1409,1350,0.686000
1409,1350,0.686000
1782,457,0.680182
1782,457,0.680182
1750,457,0.684545
1750,457,0.684545
1718,457,0.685273
1718,457,0.685273
1154,560,0.674182
1154,528,0.675091
1122,528,0.679636
1122,528,0.679636
1598,1362,0.672727
1598,1330,0.685818
1598,1330,0.685818
1598,1330,0.685818
1459,583,0.676364
1459,615,0.676727
1491,615,0.691091
1491,615,0.691091
1107,1219,0.674727
1107,1251,0.681455
1107,1251,0.681455
1107,1251,0.681455
1782,1773,0.684909
